ndc11,rxcui,name,labeler,acqDate,attribution,ingredientsAvailable,rxnavImageObjectId,rxnavImageFileName,rxnavImageSize,nlmImageObjectId,nlmImageFileName,nlmImageSize,shape,size,color,imprint,imprintType,symbol,score,active_ingredients,inactive_ingredients,base_filename,new_filename,split_type,split_side
00093-0810-01,198045,Nortriptyline 10 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185646437,00093-0810-01_RXNAVIMAGE10_24231228.jpg,591510,168874779,00093-0810-01_NLMIMAGE10_34271A58.jpg,447556,CAPSULE,16,"WHITE, ORANGE",10;mg;93;810,PRINTED,False,1,['nortriptyline hydrochloride 10 mg'],"['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide', 'fd&c yellow no. 6']",00093-0810-01_RXNAVIMAGE10_24231228,00093-0810-01_RXNAVIMAGE10_24231228_bottom.jpg,vertical,bottom
00093-0810-01,198045,Nortriptyline 10 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185646437,00093-0810-01_RXNAVIMAGE10_24231228.jpg,591510,168874779,00093-0810-01_NLMIMAGE10_34271A58.jpg,447556,CAPSULE,16,"WHITE, ORANGE",10;mg;93;810,PRINTED,False,1,['nortriptyline hydrochloride 10 mg'],"['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide', 'fd&c yellow no. 6']",00093-0810-01_RXNAVIMAGE10_24231228,00093-0810-01_RXNAVIMAGE10_24231228_top.jpg,vertical,top
00591-5440-50,1649988,doxycycline hyclate 100 MG Oral Capsule,"Watson Laboratories, Inc.",12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670913,00591-5440-50_RXNAVIMAGE10_B834DC76.jpg,710105,168893697,00591-5440-50_NLMIMAGE10_B834DC76.jpg,568471,CAPSULE,22,BLUE,DAN;5440;DAN;5440,PRINTED,False,1,['doxycycline hyclate 100 mg'],"['fd&c blue no. 1', 'gelatin', 'silicon dioxide', 'sodium lauryl sulfate', 'titanium dioxide', 'magnesium stearate', 'cellulose, microcrystalline']",00591-5440-50_RXNAVIMAGE10_B834DC76,00591-5440-50_RXNAVIMAGE10_B834DC76_bottom.jpg,vertical,bottom
00591-5440-50,1649988,doxycycline hyclate 100 MG Oral Capsule,"Watson Laboratories, Inc.",12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670913,00591-5440-50_RXNAVIMAGE10_B834DC76.jpg,710105,168893697,00591-5440-50_NLMIMAGE10_B834DC76.jpg,568471,CAPSULE,22,BLUE,DAN;5440;DAN;5440,PRINTED,False,1,['doxycycline hyclate 100 mg'],"['fd&c blue no. 1', 'gelatin', 'silicon dioxide', 'sodium lauryl sulfate', 'titanium dioxide', 'magnesium stearate', 'cellulose, microcrystalline']",00591-5440-50_RXNAVIMAGE10_B834DC76,00591-5440-50_RXNAVIMAGE10_B834DC76_top.jpg,vertical,top
00093-4356-01,0,,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185643596,00093-4356-01_RXNAVIMAGE10_0E210728.jpg,610292,168866380,00093-4356-01_NLMIMAGE10_0E210728.jpg,491283,CAPSULE,16,BLUE,4356;20;mg,PRINTED,True,1,['fluoxetine hydrochloride 20 mg'],"['ferrosoferric oxide', 'silicon dioxide', 'starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'magnesium stearate', 'propylene glycol', 'shellac', 'sodium lauryl sulfate', 'titanium dioxide']",00093-4356-01_RXNAVIMAGE10_0E210728,00093-4356-01_RXNAVIMAGE10_0E210728_bottom.jpg,vertical,bottom
00093-4356-01,0,,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185643596,00093-4356-01_RXNAVIMAGE10_0E210728.jpg,610292,168866380,00093-4356-01_NLMIMAGE10_0E210728.jpg,491283,CAPSULE,16,BLUE,4356;20;mg,PRINTED,True,1,['fluoxetine hydrochloride 20 mg'],"['ferrosoferric oxide', 'silicon dioxide', 'starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'magnesium stearate', 'propylene glycol', 'shellac', 'sodium lauryl sulfate', 'titanium dioxide']",00093-4356-01_RXNAVIMAGE10_0E210728,00093-4356-01_RXNAVIMAGE10_0E210728_top.jpg,vertical,top
00378-1610-01,991061,Dicyclomine Hydrochloride 10 MG Oral Capsule,Mylan Pharmaceuticals Inc.,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670542,00378-1610-01_RXNAVIMAGE10_2F3497A4.jpg,665510,168893326,00378-1610-01_NLMIMAGE10_2F3497A4.jpg,512255,CAPSULE,14,TURQUOISE,MYLAN;1610:MYLAN;1610,PRINTED,False,1,['dicyclomine hydrochloride 10 mg'],"['anhydrous lactose', 'silicon dioxide', 'd&c yellow no. 10', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'magnesium stearate', 'cellulose, microcrystalline', 'shellac', 'starch, corn', 'propylene glycol', 'sodium lauryl sulfate', 'ferrosoferric oxide', 'titanium dioxide']",00378-1610-01_RXNAVIMAGE10_2F3497A4,00378-1610-01_RXNAVIMAGE10_2F3497A4_bottom.jpg,vertical,bottom
00378-1610-01,991061,Dicyclomine Hydrochloride 10 MG Oral Capsule,Mylan Pharmaceuticals Inc.,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670542,00378-1610-01_RXNAVIMAGE10_2F3497A4.jpg,665510,168893326,00378-1610-01_NLMIMAGE10_2F3497A4.jpg,512255,CAPSULE,14,TURQUOISE,MYLAN;1610:MYLAN;1610,PRINTED,False,1,['dicyclomine hydrochloride 10 mg'],"['anhydrous lactose', 'silicon dioxide', 'd&c yellow no. 10', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'magnesium stearate', 'cellulose, microcrystalline', 'shellac', 'starch, corn', 'propylene glycol', 'sodium lauryl sulfate', 'ferrosoferric oxide', 'titanium dioxide']",00378-1610-01_RXNAVIMAGE10_2F3497A4,00378-1610-01_RXNAVIMAGE10_2F3497A4_top.jpg,vertical,top
00093-3167-53,197984,Minocycline 100 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185651136,00093-3167-53_RXNAVIMAGE10_F7267B83.jpg,636743,168874682,00093-3167-53_NLMIMAGE10_10270828.jpg,462031,CAPSULE,18,"RED, PINK",93;3167;93;3167,PRINTED,False,1,['minocycline hydrochloride 100 mg'],"['starch, corn', 'magnesium stearate', 'gelatin', 'titanium dioxide', 'd&c red no. 28', 'fd&c blue no. 1', 'fd&c red no. 40', 'ferric oxide red', 'ferrosoferric oxide', 'propylene glycol', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 2', 'shellac', 'ammonia']",00093-3167-53_RXNAVIMAGE10_F7267B83,00093-3167-53_RXNAVIMAGE10_F7267B83_bottom.jpg,vertical,bottom
00093-3167-53,197984,Minocycline 100 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185651136,00093-3167-53_RXNAVIMAGE10_F7267B83.jpg,636743,168874682,00093-3167-53_NLMIMAGE10_10270828.jpg,462031,CAPSULE,18,"RED, PINK",93;3167;93;3167,PRINTED,False,1,['minocycline hydrochloride 100 mg'],"['starch, corn', 'magnesium stearate', 'gelatin', 'titanium dioxide', 'd&c red no. 28', 'fd&c blue no. 1', 'fd&c red no. 40', 'ferric oxide red', 'ferrosoferric oxide', 'propylene glycol', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 2', 'shellac', 'ammonia']",00093-3167-53_RXNAVIMAGE10_F7267B83,00093-3167-53_RXNAVIMAGE10_F7267B83_top.jpg,vertical,top
65862-0113-01,199903,Hydrochlorothiazide 12.5 MG Oral Capsule,Aurobindo Pharma Limited,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670667,65862-0113-01_RXNAVIMAGE10_5D34AE85.jpg,659716,168893451,65862-0113-01_NLMIMAGE10_5D34AE85.jpg,521576,CAPSULE,14,BLUE,D;26,PRINTED,False,1,['hydrochlorothiazide 12.5 mg'],"['silicon dioxide', 'starch, corn', 'lactose monohydrate', 'magnesium stearate', 'gelatin', 'titanium dioxide', 'sodium lauryl sulfate', 'fd&c blue no. 1', 'd&c red no. 28', 'd&c yellow no. 10', 'ferrosoferric oxide', 'shellac']",65862-0113-01_RXNAVIMAGE10_5D34AE85,65862-0113-01_RXNAVIMAGE10_5D34AE85_bottom.jpg,vertical,bottom
65862-0113-01,199903,Hydrochlorothiazide 12.5 MG Oral Capsule,Aurobindo Pharma Limited,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670667,65862-0113-01_RXNAVIMAGE10_5D34AE85.jpg,659716,168893451,65862-0113-01_NLMIMAGE10_5D34AE85.jpg,521576,CAPSULE,14,BLUE,D;26,PRINTED,False,1,['hydrochlorothiazide 12.5 mg'],"['silicon dioxide', 'starch, corn', 'lactose monohydrate', 'magnesium stearate', 'gelatin', 'titanium dioxide', 'sodium lauryl sulfate', 'fd&c blue no. 1', 'd&c red no. 28', 'd&c yellow no. 10', 'ferrosoferric oxide', 'shellac']",65862-0113-01_RXNAVIMAGE10_5D34AE85,65862-0113-01_RXNAVIMAGE10_5D34AE85_top.jpg,vertical,top
