ndc11,rxcui,name,labeler,acqDate,rxnavImageFileName,shape,size,color,imprint,imprintType,symbol,score,active_ingredients,inactive_ingredients,pill_name,dosage
63459-0502-30,261106,Fentanyl 0.2 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,63459-0502-30_RXNAVIMAGE10_8641C37E.jpg,BULLET,19,WHITE,ACTIQ;200,PRINTED,False,1,[],[],Fentanyl,0.2 MG
63459-0504-30,262219,Fentanyl 0.4 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,63459-0504-30_RXNAVIMAGE10_8841C43E.jpg,BULLET,19,WHITE,ACTIQ;400,PRINTED,False,1,[],[],Fentanyl,0.4 MG
63459-0506-30,261107,Fentanyl 0.6 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,63459-0506-30_RXNAVIMAGE10_8941C4CE.jpg,BULLET,19,WHITE,ACTIQ;600,PRINTED,False,1,[],[],Fentanyl,0.6 MG
63459-0508-30,261108,Fentanyl 0.8 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,63459-0508-30_RXNAVIMAGE10_8941C4FE.jpg,BULLET,19,WHITE,ACTIQ;800,PRINTED,False,1,[],[],Fentanyl,0.8 MG
63459-0512-30,261109,Fentanyl 1.2 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,63459-0512-30_RXNAVIMAGE10_8A41C55E.jpg,BULLET,19,WHITE,ACTIQ;1200,PRINTED,False,1,[],[],Fentanyl,1.2 MG
63459-0516-30,261110,Fentanyl 1.6 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,63459-0516-30_RXNAVIMAGE10_8B41C5BE.jpg,BULLET,19,WHITE,ACTIQ;1600,PRINTED,False,1,[],[],Fentanyl,1.6 MG
00093-0311-01,978006,Loperamide Hydrochloride 2 MG Oral Capsule,Teva Pharmaceuticals USA Inc,11-05-2009,00093-0311-01_RXNAVIMAGE10_26211358.jpg,CAPSULE,14,"BROWN, ORANGE",93;311;93;311,PRINTED,False,1,['loperamide hydrochloride 2 mg'],"['dimethicone', 'gelatin', 'ferrosoferric oxide', 'ferric oxide red', 'ferric oxide yellow', 'lactose monohydrate', 'starch, corn', 'magnesium stearate', 'shellac', 'titanium dioxide']",Loperamide Hydrochloride,2 MG
00093-3165-01,197985,Minocycline 50 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,00093-3165-01_RXNAVIMAGE10_36231B28.jpg,CAPSULE,16,PINK,93;3165;93;3165,PRINTED,False,1,['minocycline hydrochloride 50 mg'],"['starch, corn', 'magnesium stearate', 'gelatin', 'titanium dioxide', 'd&c red no. 33', 'fd&c red no. 3', 'fd&c yellow no. 6', 'ferrosoferric oxide', 'propylene glycol', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'shellac', 'ammonia']",Minocycline,50 MG
00093-0810-01,198045,Nortriptyline 10 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,00093-0810-01_RXNAVIMAGE10_24231228.jpg,CAPSULE,16,"WHITE, ORANGE",10;mg;93;810,PRINTED,False,1,['nortriptyline hydrochloride 10 mg'],"['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide', 'fd&c yellow no. 6']",Nortriptyline,10 MG
00093-0811-01,317136,Nortriptyline 25 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,00093-0811-01_RXNAVIMAGE10_20231018.jpg,CAPSULE,14,"WHITE, ORANGE",25;mg;93;811,PRINTED,False,1,['nortriptyline hydrochloride 25 mg'],"['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide', 'fd&c yellow no. 6']",Nortriptyline,25 MG
