ndc11,rxcui,name,labeler,acqDate,attribution,ingredientsAvailable,rxnavImageObjectId,rxnavImageFileName,rxnavImageSize,nlmImageObjectId,nlmImageFileName,nlmImageSize,shape,size,color,imprint,imprintType,symbol,score,active_ingredients,inactive_ingredients
63459-0502-30,261106,Fentanyl 0.2 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,False,185688930,63459-0502-30_RXNAVIMAGE10_8641C37E.jpg,405034,168911714,63459-0502-30_NLMIMAGE10_8641C37E.jpg,269524,BULLET,19,WHITE,ACTIQ;200,PRINTED,False,1,[],[]
63459-0504-30,262219,Fentanyl 0.4 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,False,185688934,63459-0504-30_RXNAVIMAGE10_8841C43E.jpg,404170,168911718,63459-0504-30_NLMIMAGE10_8841C43E.jpg,270070,BULLET,19,WHITE,ACTIQ;400,PRINTED,False,1,[],[]
63459-0506-30,261107,Fentanyl 0.6 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,False,185688937,63459-0506-30_RXNAVIMAGE10_8941C4CE.jpg,413402,168911721,63459-0506-30_NLMIMAGE10_8941C4CE.jpg,277918,BULLET,19,WHITE,ACTIQ;600,PRINTED,False,1,[],[]
63459-0508-30,261108,Fentanyl 0.8 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,False,185688938,63459-0508-30_RXNAVIMAGE10_8941C4FE.jpg,402215,168911722,63459-0508-30_NLMIMAGE10_8941C4FE.jpg,267610,BULLET,19,WHITE,ACTIQ;800,PRINTED,False,1,[],[]
63459-0512-30,261109,Fentanyl 1.2 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,False,185688940,63459-0512-30_RXNAVIMAGE10_8A41C55E.jpg,408963,168911724,63459-0512-30_NLMIMAGE10_8A41C55E.jpg,274880,BULLET,19,WHITE,ACTIQ;1200,PRINTED,False,1,[],[]
63459-0516-30,261110,Fentanyl 1.6 MG Oral Lozenge [Actiq],"Cephalon, Inc.",09-26-2013,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,False,185688942,63459-0516-30_RXNAVIMAGE10_8B41C5BE.jpg,405684,168911726,63459-0516-30_NLMIMAGE10_8B41C5BE.jpg,271893,BULLET,19,WHITE,ACTIQ;1600,PRINTED,False,1,[],[]
00093-0311-01,978006,Loperamide Hydrochloride 2 MG Oral Capsule,Teva Pharmaceuticals USA Inc,11-05-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185643662,00093-0311-01_RXNAVIMAGE10_26211358.jpg,649973,168850737,00093-0311-01_NLMIMAGE10_6315B1FD.jpg,525316,CAPSULE,14,"BROWN, ORANGE",93;311;93;311,PRINTED,False,1,['loperamide hydrochloride 2 mg'],"['dimethicone', 'gelatin', 'ferrosoferric oxide', 'ferric oxide red', 'ferric oxide yellow', 'lactose monohydrate', 'starch, corn', 'magnesium stearate', 'shellac', 'titanium dioxide']"
00093-3165-01,197985,Minocycline 50 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185646490,00093-3165-01_RXNAVIMAGE10_36231B28.jpg,579432,168874706,00093-3165-01_NLMIMAGE10_19270CA8.jpg,430761,CAPSULE,16,PINK,93;3165;93;3165,PRINTED,False,1,['minocycline hydrochloride 50 mg'],"['starch, corn', 'magnesium stearate', 'gelatin', 'titanium dioxide', 'd&c red no. 33', 'fd&c red no. 3', 'fd&c yellow no. 6', 'ferrosoferric oxide', 'propylene glycol', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'shellac', 'ammonia']"
00093-0810-01,198045,Nortriptyline 10 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185646437,00093-0810-01_RXNAVIMAGE10_24231228.jpg,591510,168874779,00093-0810-01_NLMIMAGE10_34271A58.jpg,447556,CAPSULE,16,"WHITE, ORANGE",10;mg;93;810,PRINTED,False,1,['nortriptyline hydrochloride 10 mg'],"['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide', 'fd&c yellow no. 6']"
00093-0811-01,317136,Nortriptyline 25 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185646420,00093-0811-01_RXNAVIMAGE10_20231018.jpg,578649,168874695,00093-0811-01_NLMIMAGE10_15270A98.jpg,500558,CAPSULE,14,"WHITE, ORANGE",25;mg;93;811,PRINTED,False,1,['nortriptyline hydrochloride 25 mg'],"['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide', 'fd&c yellow no. 6']"
00093-0812-01,198046,Nortriptyline 50 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185646464,00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,566619,168840762,00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg,414612,CAPSULE,19,WHITE,50;mg;93;812,PRINTED,False,1,['nortriptyline hydrochloride 50 mg'],"['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide']"
00093-0813-01,198047,Nortriptyline 75 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185646463,00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,665742,168874528,00093-0813-01_NLMIMAGE10_D626EB47.jpg,554077,CAPSULE,19,ORANGE,75;mg;93;813,PRINTED,False,1,['nortriptyline hydrochloride 75 mg'],"['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide', 'fd&c yellow no. 6']"
00185-0615-01,995278,Hydroxyzine Pamoate 50 MG Oral Capsule,"Eon Labs, Inc.",12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670630,00185-0615-01_RXNAVIMAGE10_4F34A795.jpg,612608,168893414,00185-0615-01_NLMIMAGE10_4F34A795.jpg,472073,CAPSULE,15,"GREEN, WHITE",E615,PRINTED,False,1,['hydroxyzine pamoate 50 mg'],"['silicon dioxide', 'd&c yellow no. 10', 'fd&c green no. 3', 'fd&c yellow no. 6', 'gelatin', 'hydroxypropyl cellulose', 'lactose monohydrate', 'magnesium stearate', 'propylene glycol', 'sodium lauryl sulfate', 'sodium starch glycolate type a potato', 'titanium dioxide']"
00185-0613-01,995253,Hydroxyzine Pamoate 25 MG Oral Capsule,"Eon Labs, Inc.",12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185671078,00185-0613-01_RXNAVIMAGE10_F634FB07.jpg,667751,168893862,00185-0613-01_NLMIMAGE10_F634FB07.jpg,527002,CAPSULE,15,"GREEN, GREEN",E613,PRINTED,False,1,['hydroxyzine pamoate 25 mg'],"['silicon dioxide', 'd&c yellow no. 10', 'fd&c green no. 3', 'fd&c yellow no. 6', 'gelatin', 'hydroxypropyl cellulose', 'lactose monohydrate', 'magnesium stearate', 'propylene glycol', 'sodium lauryl sulfate', 'sodium starch glycolate type a potato', 'titanium dioxide']"
00603-3855-21,199903,Hydrochlorothiazide 12.5 MG Oral Capsule,"Qualitest Pharmaceutical, Inc.",12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670791,00603-3855-21_RXNAVIMAGE10_8B34C5C6.jpg,629750,168893575,00603-3855-21_NLMIMAGE10_8B34C5C6.jpg,490283,CAPSULE,14,BLUE,V;3566,PRINTED,False,1,['hydrochlorothiazide 12.5 mg'],"['docusate sodium', 'lactose monohydrate', 'magnesium stearate', 'cellulose, microcrystalline', 'starch, corn', 'sodium benzoate', 'd&c red no. 28', 'd&c yellow no. 10', 'fd&c blue no. 1', 'gelatin', 'titanium dioxide']"
53489-0118-02,1649405,doxycycline hyclate 50 MG Oral Capsule,"Mutual Pharmaceutical Company, Inc.",12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,False,185671091,53489-0118-02_RXNAVIMAGE10_FA34FD77.jpg,625986,168893875,53489-0118-02_NLMIMAGE10_FA34FD77.jpg,475608,CAPSULE,18,"BLUE, WHITE",MUTUAL;100;MUTUAL;100,PRINTED,False,1,[],[]
53489-0119-02,1649988,doxycycline hyclate 100 MG Oral Capsule,"Mutual Pharmaceutical Company, Inc.",12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,False,185670553,53489-0119-02_RXNAVIMAGE10_333499B4.jpg,685437,168893337,53489-0119-02_NLMIMAGE10_333499B4.jpg,538233,CAPSULE,22,BLUE,MUTUAL;105; MUTUAL;105,PRINTED,False,1,[],[]
